species,origin,redlist
Heracleum sosnowskyi,neo,NA
Heracleum sphondylium,native,NA
Heracleum sphondylium subsp. chloranthum,native,NA
Heracleum sphondylium subsp. glabrum,native,C4b
Heracleum sphondylium subsp. sphondylium,native,NA
Heracleum sphondylium subsp. trachycarpum,native,NA
Herminium monorchis,native,A1
Herniaria cinerea,neo,NA
Herniaria glabra,native,NA
Herniaria hirsuta,arch,C1t
Herniaria incana,neo,NA
Hesperis matronalis,NA,NA
Hesperis matronalis agg.,native,NA
Hesperis matronalis subsp. candida,neo,NA
Hesperis matronalis subsp. matronalis,NA,NA
Hesperis matronalis subsp. schurii,neo,NA
Hesperis pycnotricha,neo,NA
Hesperis sylvestris,native,C3
Hesperis sylvestris subsp. sylvestris,native,C3
Hesperis tristis,native,C2b
Heuchera sanguinea,NA,NA
Hibiscus syriacus,neo,NA
Hibiscus trionum,arch,C1t
Hieracium albinum,native,C1b
Hieracium alpinum,native,C2b
Hieracium alpinum agg.,native,NA
Hieracium apiculatum,native,C2r
Hieracium asperulum,native,C1r
Hieracium atratum,native,C3
Hieracium bifidum,native,C3
Hieracium caesium,native,C3
Hieracium chamaedenium,native,A2
Hieracium chlorocephalum,native,C1r
Hieracium chlorocephalum agg.,native,NA
Hieracium chrysostyloides,native,C1r
Hieracium corconticum,native,C1b
Hieracium corconticum agg.,native,NA
Hieracium decipiens,native,C3
Hieracium diaphanoides,native,C4a
Hieracium engleri,native,C1r
Hieracium flagelliferum,native,A2
Hieracium fritzei,native,C2r
Hieracium fritzei agg.,native,NA
Hieracium glandulosodentatum,native,C2b
Hieracium glaucinum,native,C3
Hieracium grabowskianum,native,C1b
Hieracium heldreichii agg.,neo,NA
Hieracium hypochoeroides,native,C2r
Hieracium inuloides,native,C1b
Hieracium lachenalii,native,NA
Hieracium laevigatum,native,NA
Hieracium levicaule,native,C3
Hieracium macilentum agg.,native,NA
Hieracium maculatum,native,C4a
Hieracium melanocephalum,native,C2r
Hieracium mixtum,neo,NA
Hieracium moravicum,native,C1b
Hieracium murorum,native,NA
Hieracium neoplatyphyllum,native,A3
Hieracium nigrescens,native,C2b
Hieracium nigrescens agg.,native,NA
Hieracium nigritum,native,C2b
Hieracium nigrostylum,native,C1b
Hieracium nivimontis,native,C1b
Hieracium obscuratum,native,C1b
Hieracium onosmoides,native,C3
Hieracium pedunculare,native,C1r
Hieracium plumbeum,native,NA
Hieracium prenanthoides,native,C2b
Hieracium pseudalbinum,native,C1r
Hieracium purkynei,native,A1
Hieracium racemosum,native,C4a
Hieracium riphaeoides,native,A3
Hieracium riphaeum,native,C1b
Hieracium rohlenae,native,C2r
Hieracium sabaudum,native,NA
Hieracium saxifragum,native,C2r
Hieracium schmidtii,native,C4a
Hieracium schneiderianum,native,C2r
Hieracium schustleri,native,C1r
Hieracium silesiacum,native,C1r
Hieracium stygium,native,C2b
Hieracium sudeticum,native,C3
Hieracium sudeticum agg.,native,NA
Hieracium sudetotubulosum,native,C2r
Hieracium uechtritzianum,native,C2r
Hieracium umbellatum,native,NA
Hieracium vasconicum,native,C4a
Hieracium villosum,native,C1r
Hieracium wimmeri,native,C2r
Hierochloe australis,native,C3
Hierochloe hirta,native,A3
Hierochloe odorata,native,C1b
Hierochloe odorata agg.,native,NA
Hierochloe repens,native,C1b
Himantoglossum adriaticum,native,C1t
Himantoglossum calcaratum,native,A1
Himantoglossum calcaratum subsp. rumelicum,native,A1
Himantoglossum hircinum agg.,native,NA
Hippocrepis comosa,native,C1b
Hippocrepis emerus,neo,NA
Hippophae rhamnoides,neo,NA
Hippuris vulgaris,native,C1t
Hirschfeldia incana,neo,NA
Holcus lanatus,native,NA
Holcus mollis,native,NA
Holosteum umbellatum,native,NA
Holosteum umbellatum var. parceglandulosum,native,NA
Holosteum umbellatum var. umbellatum,native,NA
Homogyne alpina,native,NA
Hopia obtusa,neo,NA
Hordelymus europaeus,native,NA
Hordeum brevisubulatum,neo,NA
Hordeum geniculatum,neo,NA
Hordeum jubatum,neo,NA
Hordeum marinum,neo,NA
Hordeum marinum agg.,neo,NA
Hordeum murinum,arch,NA
Hordeum murinum subsp. leporinum,neo,NA
Hordeum murinum subsp. murinum,arch,NA
Hordeum secalinum,neo,NA
Hordeum vulgare,arch,NA
Hordeum vulgare Distichon Group,arch,NA
Hordeum vulgare Vulgare Group,arch,NA
Hosta x fortunei,NA,NA
Hosta x lancifolia,NA,NA
Hosta x sieboldiana,NA,NA
Hosta x sieboldii,NA,NA
Hosta x undulata,NA,NA
Hosta plantaginea,neo,NA
Hosta ventricosa,NA,NA
Hottonia palustris,native,C3
Houttuynia cordata,neo,NA
Humulus lupulus,native,NA
Humulus scandens,neo,NA
Huperzia selago,native,C3
Huperzia selago subsp. selago,native,C3
Hyacinthella leucophaea,neo,NA
Hyacinthella leucophaea var. rumelica,neo,NA
Hyacinthoides hispanica,neo,NA
Hyacinthoides italica,NA,NA
Hyacinthoides non-scripta,NA,NA
Hyacinthus orientalis,NA,NA
Hydrangea arborescens,NA,NA
Hydrangea macrophylla,NA,NA
Hydrocharis morsus-ranae,native,C2b
Hydrocotyle vulgaris,native,C3
Hylotelephium anacampseros,neo,NA
Hylotelephium argutum,native,A3
Hylotelephium ewersii,neo,NA
Hylotelephium jullianum,native,NA
Hylotelephium maximum,native,NA
Hylotelephium sieboldii,NA,NA
Hylotelephium spectabile,neo,NA
Hylotelephium telephium,native,C4a
Hylotelephium telephium agg.,native,NA
Hymenophyllum tunbrigense,native,A1
Hyoscyamus albus,neo,NA
Hyoscyamus niger,arch,C3
Hyoscyamus niger var. agrestis,arch,A3
Hyoscyamus niger var. niger,arch,C3
Hyparrhenia hirta,neo,NA
Hypericum x desetangsii,native,NA
Hypericum x laschii,native,NA
Hypericum annulatum,neo,NA
Hypericum dubium,native,C1r
Hypericum elegans,native,C2r
Hypericum hirsutum,native,NA
Hypericum humifusum,native,C3
Hypericum maculatum,native,NA
Hypericum maculatum agg.,native,NA
Hypericum montanum,native,NA
Hypericum perforatum,native,NA
Hypericum pulchrum,native,C1r
Hypericum tetrapterum,native,NA
Hypochaeris glabra,native,C1t
Hypochaeris maculata,native,C3
Hypochaeris radicata,native,NA
Hypochaeris radicata subsp. radicata,native,NA
Hypochaeris uniflora,native,C3
Hyssopus officinalis,NA,NA
Iberis amara,neo,NA
Iberis saxatilis,NA,NA
Iberis sempervirens,neo,NA
Iberis umbellata,neo,NA
Ilex aquifolium,NA,NA
Illecebrum verticillatum,native,C1t
Impatiens balfourii,neo,NA
Impatiens balsamina,neo,NA
Impatiens edgeworthii,neo,NA
Impatiens glandulifera,neo,NA
Impatiens noli-tangere,native,NA
Impatiens parviflora,neo,NA
Impatiens scabrida,neo,NA
Inula x hausmannii,native,NA
Inula x hybrida,native,NA
Inula x magyarica,NA,NA
Inula x media,native,NA
Inula x rigida,native,NA
Inula x stricta,native,NA
Inula x suaveolens,native,NA
Inula britannica,native,NA
Inula conyzae,native,NA
Inula ensifolia,native,C3
Inula germanica,native,C2b
Inula helenium,NA,NA
Inula hirta,native,C3
Inula oculus-christi,native,C3
Inula racemosa,neo,NA
Inula salicina,native,C4a
Inula salicina subsp. aspera,native,A1
Inula salicina subsp. salicina,native,C4a
Ipomoea hederacea,neo,NA
Ipomoea lacunosa,neo,NA
Ipomoea purpurea,neo,NA
Iris x germanica,NA,NA
Iris x sambucina,NA,NA
Iris aphylla,native,C2b
Iris aphylla subsp. aphylla,native,C2b
Iris arenaria,native,C2r
Iris florentina,NA,NA
Iris graminea,native,C2b
Iris pallida,NA,NA
Iris pseudacorus,native,NA
Iris pumila,native,C2r
Iris pumila subsp. pumila,native,C2r
Iris sibirica,native,C3
Iris spuria,native,A1
Iris spuria subsp. spuria,native,A1
Iris variegata,native,C2b
Iris versicolor,NA,NA
Isatis tinctoria,NA,NA
Isatis tinctoria subsp. praecox,neo,NA
Isatis tinctoria subsp. tinctoria,NA,NA
Ismelia carinata,neo,NA
Isoetes echinospora,native,C1r
Isoetes lacustris,native,C1r
Isolepis setacea,native,C3
Isopyrum thalictroides,native,C4a
Iva xanthiifolia,neo,NA
Jasione montana,native,NA
Jovibarba globifera,native,C3
Jovibarba globifera subsp. glabrescens,native,C2r
Jovibarba globifera subsp. globifera,native,C3
Juglans cinerea,NA,NA
Juglans nigra,neo,NA
Juglans regia,arch,NA
Juncus x brueggeri,native,NA
Juncus x buchenaui,native,NA
Juncus x diffusus,native,NA
Juncus x montserratensis,native,NA
Juncus x ruhmeri,native,NA
Juncus acutiflorus,native,C3
Juncus acutiflorus x  J. alpinoarticulatus,NA,NA
Juncus alpinoarticulatus,native,C3
Juncus articulatus,native,NA
Juncus atratus,native,C1b
Juncus bufonius,native,NA
Juncus bufonius agg.,native,NA
Juncus bulbosus,native,NA
Juncus capitatus,native,C1t
Juncus compressus,native,NA
Juncus compressus agg.,native,NA
Juncus conglomeratus,native,NA
Juncus effusus,native,NA
Juncus ensifolius,neo,NA
Juncus filiformis,native,NA
Juncus gerardii,native,C1t
Juncus inflexus,native,NA
Juncus minutulus,native,C4b
Juncus ranarius,native,C3
Juncus sphaerocarpus,native,C1t
Juncus squarrosus,native,NA
Juncus subnodulosus,native,C1t
Juncus tenageia,native,C1t
Juncus tenuis,neo,NA
Juniperus x pfitzeriana,NA,NA
Juniperus chinensis,NA,NA
Juniperus communis,native,C3
Juniperus communis var. communis,native,C3
Juniperus communis var. saxatilis,native,C2b
Juniperus sabina,NA,NA
Juniperus virginiana,NA,NA
Jurinea cyanoides,native,C1t
Jurinea mollis,native,C2b
Kerria japonica,NA,NA
Kickxia elatine,arch,C2t
Kickxia elatine subsp. elatine,arch,C2t
Kickxia spuria,arch,C2t
Kickxia spuria subsp. spuria,arch,C2t
Kitaibela vitifolia,neo,NA
Klasea lycopifolia,native,C2r
Knautia x leucantha,native,NA
Knautia x posoniensis,native,NA
Knautia x sambucifolia,native,NA
Knautia x speciosa,native,NA
Knautia arvensis,native,NA
Knautia arvensis agg.,native,NA
Knautia arvensis subsp. arvensis,native,NA
Knautia arvensis subsp. pannonica,native,C4b
Knautia dipsacifolia,native,C4a
Knautia drymeia,native,C4a
Knautia drymeia subsp. drymeia,native,C4a
Knautia kitaibelii,native,C4a
Knautia macedonica,neo,NA
Knautia pseudolongifolia,native,C1r
Knautia serpentinicola,native,NA
Kniphofia x praecox,neo,NA
Koeleria x hungarica,native,NA
Koeleria glauca,native,C1t
Koeleria macrantha,native,NA
Koeleria pyramidata,native,NA
Koelreuteria paniculata,neo,NA
Kolkwitzia amabilis,NA,NA
Krascheninnikovia ceratoides,native,A3
Laburnum x watereri,NA,NA
Laburnum alpinum,NA,NA
Laburnum anagyroides,neo,NA
Lactuca perennis,native,C3
Lactuca quercina,native,C3
Lactuca saligna,native,C1t
Lactuca sativa,NA,NA
Lactuca serriola,arch,NA
Lactuca tatarica,neo,NA
Lactuca viminea,native,C3
Lactuca virosa,neo,NA
Lagurus ovatus,neo,NA
Lamarckia aurea,NA,NA
Lamium x holsaticum,arch,NA
Lamium album,arch,NA
Lamium amplexicaule,arch,NA
Lamium confertum,neo,NA
Lamium hybridum,neo,NA
Lamium maculatum,native,NA
Lamium orvala,neo,NA
Lamium purpureum,arch,NA
Lamprocapnos spectabilis,NA,NA
Lappula patula,neo,NA
Lappula semicincta,native,C1r
Lappula squarrosa,arch,C3
Lapsana communis,native,NA
Lapsana communis subsp. communis,native,NA
Larix decidua,native,NA
Larix decidua subsp. decidua,native,NA
Larix kaempferi,NA,NA
Laser trilobum,native,C1r
Laserpitium archangelica,native,C1r
Laserpitium latifolium,native,C3
Laserpitium prutenicum,native,C3
Laserpitium prutenicum subsp. prutenicum,native,C3
Lathraea squamaria,native,NA
Lathraea squamaria subsp. squamaria,native,NA
Lathyrus annuus,neo,NA
Lathyrus aphaca,neo,NA
Lathyrus cicera,neo,NA
Lathyrus clymenum,neo,NA
Lathyrus heterophyllus,native,C2r
Lathyrus hirsutus,neo,NA
Lathyrus latifolius,native,C3
Lathyrus laxiflorus,neo,NA
Lathyrus linifolius,native,C3
Lathyrus niger,native,NA
Lathyrus nissolia,native,C4b
Lathyrus nissolia subsp. nissolia,native,C4b
Lathyrus nissolia subsp. pubescens,native,C4b
Lathyrus ochrus,neo,NA
Lathyrus odoratus,neo,NA
Lathyrus palustris,native,C1t
Lathyrus pannonicus,native,C2b
Lathyrus pannonicus subsp. collinus,native,C2b
Lathyrus pannonicus subsp. pannonicus,native,C1b
Lathyrus pisiformis,native,C1r
Lathyrus pratensis,native,NA
Lathyrus sativus,arch,NA
Lathyrus sphaericus,neo,NA
Lathyrus sylvestris,native,NA
Lathyrus sylvestris agg.,native,NA
Lathyrus tingitanus,neo,NA
Lathyrus tuberosus,arch,NA
Lathyrus vernus,native,NA
Lavandula angustifolia,NA,NA
Lavatera punctata,neo,NA
Lavatera thuringiaca,native,C4a
Lavatera thuringiaca subsp. thuringiaca,native,C4a
Lavatera trimestris,neo,NA
Lawrencia glomerata,neo,NA
Leersia oryzoides,native,C3
Legousia hybrida,neo,NA
Legousia pentagonia,neo,NA
Legousia speculum-veneris,neo,NA
Lemna gibba,native,NA
Lemna minor,native,NA
Lemna minor agg.,native,NA
Lemna trisulca,native,C3
Lemna turionifera,neo,NA
Lens culinaris,arch,NA
Leontodon hispidus,native,NA
Leontodon hispidus var. glabratus,native,NA
Leontodon hispidus var. glabratus x  Scorzoneroides autumnalis,NA,NA
Leontodon hispidus var. hispidus,native,NA
Leontodon saxatilis,native,A2
Leontodon saxatilis subsp. saxatilis,native,A2
Leontopodium alpinum,neo,NA
Leonurus cardiaca,arch,NA
Leonurus cardiaca nothosubsp. intermedius,neo,NA
Leonurus cardiaca subsp. cardiaca,arch,C4a
Leonurus cardiaca subsp. villosus,neo,NA
Leonurus japonicus,neo,NA
Leonurus marrubiastrum,native,C2b
Lepidium africanum,neo,NA
Lepidium campestre,arch,NA
Lepidium coronopus,arch,C2t
Lepidium densiflorum,neo,NA
Lepidium didymum,neo,NA
Lepidium draba,arch,NA
Lepidium heterophyllum,neo,NA
Lepidium latifolium,neo,NA
Lepidium perfoliatum,neo,NA
Lepidium ruderale,arch,NA
Lepidium sativum,NA,NA
Lepidium virginicum,neo,NA
Leptochloa chinensis,neo,NA
Leptochloa decipiens,neo,NA
Leptochloa decipiens subsp. peacockii,neo,NA
Leptochloa divaricatissima,neo,NA
Leptochloa fusca,neo,NA
Leptochloa fusca subsp. fascicularis,neo,NA
Leptochloa fusca subsp. fusca,neo,NA
Lepyrodiclis holosteoides,neo,NA
Leucanthemella serotina,neo,NA
Leucanthemum x superbum,NA,NA
Leucanthemum ircutianum,native,NA
Leucanthemum margaritae,native,C2r
Leucanthemum vulgare,native,NA
Leucanthemum vulgare agg.,native,NA
Leucanthemum vulgare subsp. vulgare,native,NA
Leucojum aestivum,native,C1b
Leucojum aestivum subsp. aestivum,native,C1b
Leucojum vernum,native,C3
Leucojum vernum var. carpathicum,native,C4b
Leucojum vernum var. vernum,native,C3
Levisticum officinale,arch,NA
Leymus arenarius,neo,NA
Liatris spicata,neo,NA
Libanotis pyrenaica,native,C4a
Ligularia przewalskii,neo,NA
Ligularia sibirica,native,C1b
Ligusticum mutellina,native,C3
Ligustrum ovalifolium,NA,NA
Ligustrum vulgare,native,NA
Lilium bulbiferum,NA,NA
Lilium bulbiferum var. bulbiferum,NA,C2b
Lilium bulbiferum var. croceum,NA,NA
Lilium candidum,NA,NA
Lilium martagon,native,C4a
Lilium regale,NA,NA
Lilium tigrinum,NA,NA
Limodorum abortivum,native,C1b
Limonium gmelinii,neo,NA
Limonium sinuatum,NA,NA
Limosella aquatica,native,C4a
Linaria x sepium,NA,NA
Linaria arvensis,arch,A2
Linaria dalmatica,NA,NA
Linaria genistifolia,native,C3
Linaria maroccana,neo,NA
Linaria odora,neo,NA
Linaria pelisseriana,neo,NA
Linaria purpurea,neo,NA
Linaria purpurea x  L. vulgaris,NA,NA
Linaria repens,neo,NA
Linaria vulgaris,arch,NA
Lindernia dubia,neo,NA
Lindernia procumbens,native,C1t
Linnaea borealis,native,A1
Linum austriacum,native,C4a
Linum austriacum subsp. austriacum,native,C4a
Linum catharticum,native,NA
Linum flavum,native,C2b
Linum hirsutum,native,C2t
Linum hirsutum subsp. hirsutum,native,C2t
Linum perenne,native,A1
Linum perenne subsp. perenne,native,A1
Linum tenuifolium,native,C3
Linum usitatissimum,arch,NA
Liparis loeselii,native,C1t
Liriodendron tulipifera,NA,NA
Listera cordata,native,C1t
Listera ovata,native,C4a
Lithospermum officinale,native,C2b
Littorella uniflora,native,C1b
Lobelia erinus,neo,NA
Lobularia maritima,neo,NA
Lolium x hybridum,neo,NA
Lolium multiflorum,neo,NA
Lolium perenne,native,NA
Lolium remotum,arch,A2
Lolium rigidum,neo,NA
Lolium rigidum subsp. lepturoides,neo,NA
Lolium rigidum subsp. rigidum,neo,NA
Lolium temulentum,arch,A2
Lonicera caerulea,native,NA
Lonicera caprifolium,NA,NA
Lonicera fragrantissima,NA,NA
Lonicera involucrata,NA,NA
Lonicera nigra,native,NA
Lonicera nitida,NA,NA
Lonicera periclymenum,NA,NA
Lonicera pileata,NA,NA
Lonicera tatarica,neo,NA
Lonicera xylosteum,native,NA
Loranthus europaeus,native,C4a
Lotus borbasii,native,C2r
Lotus corniculatus,native,NA
Lotus corniculatus agg.,native,NA
Lotus corniculatus var. alpicola,native,NA
Lotus corniculatus var. corniculatus,native,NA
Lotus corniculatus var. hirsutus,native,NA
Lotus corniculatus var. kochii,native,NA
Lotus corniculatus var. norvegicus,native,NA
Lotus corniculatus var. sativus,native,NA
Lotus maritimus,native,C3
Lotus ornithopodioides,neo,NA
Lotus pedunculatus,native,NA
Lotus tenuis,native,C3
Ludwigia palustris,native,A3
Lunaria annua,NA,NA
Lunaria rediviva,native,C4a
Lupinus albus,neo,NA
Lupinus angustifolius,neo,NA
Lupinus luteus,neo,NA
Lupinus polyphyllus,neo,NA
Luronium natans,native,C1b
Luzula x heddae,native,NA
Luzula x hybrida,native,NA
Luzula x media,native,NA
Luzula x vinesii,native,NA
Luzula campestris,native,NA
Luzula campestris agg.,native,NA
Luzula divulgata,native,NA
Luzula luzulina,native,C3
Luzula luzuloides,native,NA
Luzula luzuloides subsp. luzuloides,native,NA
Luzula luzuloides subsp. rubella,native,NA
Luzula multiflora,native,NA
Luzula nivea,neo,NA
Luzula pallescens,native,NA
Luzula pilosa,native,NA
Luzula spicata,native,C1b
Luzula sudetica,native,C3
Luzula sylvatica,native,NA
Lychnis chalcedonica,neo,NA
Lychnis coronaria,NA,NA
Lychnis flos-cuculi,native,NA
Lychnis flos-cuculi subsp. flos-cuculi,native,NA
Lychnis flos-jovis,NA,NA
Lycium barbarum,neo,NA
Lycium chinense,neo,NA
Lycopodiella inundata,native,C1t
Lycopodium annotinum,native,C3
Lycopodium annotinum subsp. annotinum,native,C3
Lycopodium clavatum,native,C3
Lycopodium clavatum subsp. clavatum,native,C3
Lycopodium clavatum subsp. monostachyon,NA,NA
Lycopsis arvensis,arch,NA
Lycopsis arvensis agg.,arch,NA
Lycopsis orientalis,neo,NA
Lycopus x intercedens,native,NA
Lycopus europaeus,native,NA
Lycopus europaeus subsp. europaeus,native,NA
Lycopus europaeus subsp. menthifolius,neo,NA
Lycopus exaltatus,native,C2b
Lysimachia ciliata,neo,NA
Lysimachia nemorum,native,NA
Lysimachia nummularia,native,NA
Lysimachia punctata,neo,NA
Lysimachia thyrsiflora,native,C3
Lysimachia vulgaris,native,NA
Lythrum hyssopifolia,native,C2b
Lythrum junceum,neo,NA
Lythrum salicaria,native,NA
Lythrum virgatum,native,C2b
Macleaya cordata,neo,NA
Maclura pomifera,NA,NA
Madia sativa,neo,NA
Magnolia x soulangeana,NA,NA
Magnolia acuminata,NA,NA
Magnolia kobus,NA,NA
Magnolia obovata,NA,NA
Magnolia stellata,NA,NA
Mahonia aquifolium,neo,NA
Maianthemum bifolium,native,NA
Malaxis monophyllos,native,C1t
Malcolmia africana,neo,NA
Malcolmia chia,neo,NA
Malcolmia graeca,NA,NA
Malcolmia graeca subsp. bicolor,NA,NA
Malcolmia maritima,neo,NA
Malope trifida,neo,NA
Malus x dasyphylla,arch,NA
Malus x purpurea,NA,NA
Malus baccata,neo,NA
Malus domestica,arch,NA
Malus floribunda,NA,NA
Malus fusca,neo,NA
Malus pumila,NA,NA
Malus sylvestris,native,C3
Malus sylvestris agg.,native,NA
Malva x adulterina,arch,NA
Malva x zoernigii,arch,NA
Malva alcea,native,C4a
Malva moschata,native,NA
Malva neglecta,arch,NA
Malva parviflora,neo,NA
Malva pusilla,arch,C2t
Malva sylvestris,arch,NA
Malva sylvestris var. mauritiana,NA,NA
Malva sylvestris var. sylvestris,arch,NA
Malva verticillata,neo,NA
Malva verticillata var. crispa,neo,NA
Malva verticillata var. verticillata,neo,NA
Marrubium x paniculatum,arch,NA
Marrubium peregrinum,arch,C1t
Marrubium vulgare,arch,C1t
Marsilea quadrifolia,NA,NA
Matricaria chamomilla,native,NA
Matricaria discoidea,neo,NA
Matteuccia struthiopteris,neo,NA
Matthiola incana,neo,NA
Matthiola incana subsp. incana,neo,NA
Matthiola longipetala,neo,NA
Matthiola longipetala subsp. bicornis,neo,NA
Matthiola longipetala subsp. longipetala,neo,NA
Meconopsis cambrica,neo,NA
Medicago x varia,neo,NA
Medicago arabica,neo,NA
Medicago disciformis,neo,NA
Medicago falcata,native,NA
Medicago lupulina,native,NA
Medicago minima,native,C3
Medicago monspeliaca,native,C1t
Medicago orbicularis,neo,NA
Medicago polymorpha,neo,NA
Medicago prostrata,native,C2r
Medicago rigidula,neo,NA
Medicago sativa,neo,NA
Medicago sativa agg.,native,NA
Megathyrsus bivonianus,neo,NA
Melampyrum arvense,arch,C3
Melampyrum barbatum,neo,NA
Melampyrum barbatum subsp. barbatum,neo,NA
Melampyrum cristatum,native,C3
Melampyrum cristatum var. cristatum,native,C3
Melampyrum cristatum var. solstitiale,native,C2b
Melampyrum nemorosum,native,NA
Melampyrum nemorosum agg.,native,NA
Melampyrum nemorosum var. nemorosum,native,NA
Melampyrum nemorosum var. praecox,native,C1t
Melampyrum pratense,native,NA
Melampyrum subalpinum,native,C3
Melampyrum sylvaticum,native,NA
Melampyrum sylvaticum agg.,native,NA
Melica x aschersonii,native,NA
Melica altissima,neo,NA
Melica ciliata,native,C3
Melica ciliata agg.,native,NA
Melica ciliata subsp. ciliata,native,C3
Melica nutans,native,NA
Melica nutans agg.,native,NA
Melica picta,native,C3
Melica transsilvanica,native,C4a
Melica transsilvanica subsp. transsilvanica,native,C4a
Melica uniflora,native,NA
Melilotus albus,arch,NA
Melilotus altissimus,native,C3
Melilotus dentatus,native,C2t
Melilotus indicus,neo,NA
Melilotus officinalis,arch,NA
Melilotus siculus,neo,NA
Melilotus sulcatus,neo,NA
Melilotus wolgicus,neo,NA
Melissa officinalis,NA,NA
Melissa officinalis subsp. officinalis,NA,NA
Melittis melissophyllum,native,C4a
Mentha x dalmatica,native,NA
Mentha x dumetorum,native,NA
Mentha x gracilis,NA,NA
Mentha x niliaca,NA,NA
Mentha x piperita,NA,NA
Mentha x piperita agg.,native,NA
Mentha x piperita nothosubsp. piperita,NA,NA
Mentha x rotundifolia,NA,NA
Mentha x verticillata,native,NA
Mentha x verticillata agg.,native,NA
Mentha aquatica,native,NA
Mentha arvensis,native,NA
Mentha longifolia,native,NA
Mentha longifolia subsp. longifolia,native,NA
Mentha spicata,NA,NA
Mentha spicata agg.,native,NA
Mentha spicata s. l.,NA,NA
Mentha spicata subsp. condensata,NA,NA
Mentha spicata subsp. spicata,NA,NA
Mentha suaveolens,NA,NA
Menyanthes trifoliata,native,C3
Mercurialis x paxii,native,NA
Mercurialis annua,arch,NA
Mercurialis ovata,native,C2r
Mercurialis perennis,native,NA
Mercurialis perennis agg.,native,NA
Mertensia sibirica,neo,NA
Mespilus germanica,arch,NA
Metasequoia glyptostroboides,NA,NA
Meum athamanticum,native,C3
Mibora minima,native,A3
Microrrhinum litorale,neo,NA
Microrrhinum minus,arch,NA
Microthlaspi erraticum,NA,NA
Microthlaspi perfoliatum,native,NA
Microthlaspi perfoliatum agg.,NA,NA
Milium effusum,native,NA
Mimulus guttatus,neo,NA
Mimulus moschatus,neo,NA
Mimulus ringens,neo,NA
Minuartia caespitosa,native,C1r
Minuartia corcontica,native,C1r
Minuartia glaucina,native,A3
Minuartia rubra,native,C2b
Minuartia setacea,native,C3
Minuartia smejkalii,native,C1r
Minuartia verna agg.,native,NA
Minuartia viscosa,native,A2
Mirabilis jalapa,neo,NA
Mirabilis longiflora,neo,NA
Miscanthus x giganteus,neo,NA
Miscanthus sacchariflorus,neo,NA
Miscanthus sinensis,neo,NA
Misopates orontium,arch,C2t
Moehringia muscosa,native,A1
Moehringia trinervia,native,NA
Moenchia erecta,native,A1
Molinia arundinacea,native,NA
Molinia caerulea,native,NA
Molinia caerulea agg.,native,NA
Mollugo verticillata,neo,NA
Moneses uniflora,native,C1b
Monolepis nuttalliana,neo,NA
Monotropa hypophegea,native,C2b
Monotropa hypopitys,native,C3
Monotropa hypopitys agg.,native,NA
Montia arvensis,native,C1t
Montia fontana,native,C2t
Montia fontana agg.,native,NA
Montia fontana nothosubsp. variabilis,native,C2t
Montia fontana subsp. amporitana,native,C2t
Montia fontana subsp. fontana,native,C1b
Morus alba,neo,NA
Morus nigra,NA,NA
Muhlenbergia mexicana,neo,NA
Muscari armeniacum,neo,NA
Muscari azureum,NA,NA
Muscari botryoides,NA,C4b
Muscari comosum,native,C3
Muscari latifolium,neo,NA
Muscari neglectum,native,C2b
Muscari tenuiflorum,native,C2b
Myagrum perfoliatum,neo,NA
Mycelis muralis,native,NA
Myosotis x bohemica,native,NA
Myosotis x krajinae,native,NA
Myosotis x pseudohispida,native,NA
Myosotis x suzae,native,NA
Myosotis arvensis,native,NA
Myosotis arvensis subsp. arvensis,native,NA
Myosotis brevisetacea,native,C4b
Myosotis caespitosa,native,C4a
Myosotis discolor,native,C2b
Myosotis discolor subsp. discolor,native,C2b
Myosotis nemorosa,native,NA
Myosotis palustris,native,NA
Myosotis palustris agg.,native,NA
Myosotis palustris subsp. laxiflora,native,NA
Myosotis palustris subsp. palustris,native,C4b
Myosotis ramosissima,native,NA
Myosotis ramosissima subsp. ramosissima,native,NA
Myosotis sparsiflora,native,C4a
Myosotis stenophylla,native,C1b
Myosotis stricta,native,NA
Myosotis sylvatica,native,NA
Myosoton aquaticum,native,NA
Myosurus minimus,native,C3
Myricaria germanica,native,C1t
Myriophyllum alterniflorum,native,C2r
Myriophyllum aquaticum,neo,NA
Myriophyllum heterophyllum,neo,NA
Myriophyllum spicatum,native,NA
Myriophyllum verticillatum,native,C3
Myrrhis odorata,NA,NA
Najas marina,native,C3
Najas minor,native,C1b
Narcissus x incomparabilis,NA,NA
Narcissus cyclamineus,NA,NA
Narcissus jonquilla,NA,NA
Narcissus poeticus,NA,NA
Narcissus pseudonarcissus,NA,NA
Narcissus tazetta,NA,NA
Narcissus triandrus,NA,NA
Nardus stricta,native,NA
Narthecium ossifragum,native,A2
Nassella tenuissima,neo,NA
Nasturtium x sterile,native,C4b
Nasturtium microphyllum,native,C1b
Nasturtium officinale,native,C2b
Nasturtium officinale agg.,native,NA
Nectaroscilla litardierei,NA,NA
Nemophila maculata,NA,NA
Nemophila menziesii,neo,NA
Neotinea x dietrichiana,native,NA
Neotinea tridentata,native,C1t
Neotinea tridentata x  Orchis militaris,native,NA
Neotinea ustulata,native,C1t
Neotinea ustulata var. aestivalis,native,C1t
Neotinea ustulata var. ustulata,native,C1t
Neottia nidus-avis,native,C4a
Nepeta x faasenii,neo,NA
Nepeta cataria,arch,NA
Nepeta grandiflora,neo,NA
