SPECIES_NR,LETTERCODE,SYNONYM,TurbovegCzechiaSlovakia,Kaplan,ExpertSystem,nonvascular
4841,GYMNC-D,FALSE,Gymnadenia conopsea ssp. densiflora,Gymnadenia densiflora,Gymnadenia densiflora,0
4842,GYMNC-M,FALSE,Gymnadenia conopsea ssp. montana,Gymnadenia conopsea,Gymnadenia conopsea,0
4838,GYMNCON,FALSE,Gymnadenia conopsea,Gymnadenia conopsea agg.,Gymnadenia conopsea agg.,0
4839,GYMNODO,FALSE,Gymnadenia odoratissima,Gymnadenia odoratissima,Gymnadenia odoratissima,0
4843,GYMN-SP,FALSE,Gymnadenia species,Gymnadenia species,Gymnadenia species,0
4844,GYMODRY,FALSE,Gymnocarpium dryopteris,Gymnocarpium dryopteris,Gymnocarpium dryopteris,0
4845,GYMOROB,FALSE,Gymnocarpium robertianum,Gymnocarpium robertianum,Gymnocarpium robertianum,0
4846,GYMO-SP,FALSE,Gymnocarpium species,Gymnocarpium species,Gymnocarpium species,0
4866,GYPSACU,FALSE,Gypsophila acutifolia,Gypsophila acutifolia,Gypsophila acutifolia,0
4867,GYPSELE,FALSE,Gypsophila elegans,Gypsophila elegans,Gypsophila elegans,0
4873,GYPSF-A,FALSE,Gypsophila fastigiata ssp. arenaria,Gypsophila fastigiata subsp. arenaria,Gypsophila fastigiata subsp. arenaria,0
4868,GYPSFAS,FALSE,Gypsophila fastigiata,Gypsophila fastigiata,Gypsophila fastigiata,0
4874,GYPSF-F,FALSE,Gypsophila fastigiata ssp. fastigiata,Gypsophila fastigiata subsp. fastigiata,Gypsophila fastigiata subsp. fastigiata,0
4869,GYPSMUR,FALSE,Gypsophila muralis,Gypsophila muralis,Gypsophila muralis,0
4870,GYPSPAN,FALSE,Gypsophila paniculata,Gypsophila paniculata,Gypsophila paniculata,0
4875,GYPSPER,FALSE,Gypsophila perfoliata,Gypsophila perfoliata,Gypsophila perfoliata,0
4871,GYPSREP,FALSE,Gypsophila repens,Gypsophila repens,Gypsophila repens,0
4872,GYPSSCO,FALSE,Gypsophila scorzonerifolia,Gypsophila scorzonerifolia,Gypsophila scorzonerifolia,0
4876,GYPS-SP,FALSE,Gypsophila species,Gypsophila species,Gypsophila species,0
4884,HACKDEF,FALSE,Hackelia deflexa,Hackelia deflexa,Hackelia deflexa,0
4885,HACK-SP,FALSE,Hackelia species,Hackelia species,Hackelia species,0
4886,HACQEPI,FALSE,Hacquetia epipactis,Hacquetia epipactis,Hacquetia epipactis,0
4887,HACQ-SP,FALSE,Hacquetia species,Hacquetia species,Hacquetia species,0
4894,HAINCYL,FALSE,Hainardia cylindrica,Hainardia cylindrica,Hainardia cylindrica,0
4895,HAIN-SP,FALSE,Hainardia species,Hainardia species,Hainardia species,0
13501,HAMAJAP,FALSE,Hamamelis japonica,Hamamelis japonica,Hamamelis japonica,0
13502,HAMAMOL,FALSE,Hamamelis mollis,Hamamelis mollis,Hamamelis mollis,0
13503,HAMA-SP,FALSE,Hamamelis species,Hamamelis species,Hamamelis species,0
13504,HAMAVIR,FALSE,Hamamelis virginiana,Hamamelis virginiana,Hamamelis virginiana,0
4901,HAMMPAL,FALSE,Hammarbya paludosa,Hammarbya paludosa,Hammarbya paludosa,0
4902,HAMM-SP,FALSE,Hammarbya species,Hammarbya species,Hammarbya species,0
4922,HEDEHEL,FALSE,Hedera helix,Hedera helix,Hedera helix,0
4923,HEDE-SP,FALSE,Hedera species,Hedera species,Hedera species,0
4928,HEDYHED,FALSE,Hedysarum hedysaroides,Hedysarum hedysaroides,Hedysarum hedysaroides,0
4929,HEDYH-H,FALSE,Hedysarum hedysaroides ssp. hedysaroides,Hedysarum hedysaroides,Hedysarum hedysaroides,0
4930,HEDY-SP,FALSE,Hedysarum species,Hedysarum species,Hedysarum species,0
4951,HELA*LA,FALSE,Helianthus x laetiflorus (H. rigidus x tuberosus),Helianthus x laetiflorus,Helianthus x laetiflorus,0
4945,HELAANN,FALSE,Helianthus annuus,Helianthus annuus,Helianthus annuus,0
13508,HELAATR,FALSE,Helianthus atrorubens,Helianthus atrorubens,Helianthus atrorubens,0
4946,HELADEB,FALSE,Helianthus debilis,Helianthus debilis,Helianthus debilis,0
4947,HELADEC,FALSE,Helianthus decapetalus,Helianthus decapetalus,Helianthus decapetalus,0
13509,HELAGIG,FALSE,Helianthus giganteus,Helianthus giganteus,Helianthus giganteus,0
