SPECIES_NR,LETTERCODE,SHORTNAME,ABBREVIAT,SYNONYM,VALID_NR
6353,LOBA-SP,Lobaria species,Lobaria species,FALSE,6353
6354,LOBEERI,Lobelia erinus,Lobelia erinus,FALSE,6354
6355,LOBEINF,Lobelia inflata,Lobelia inflata,FALSE,6355
6356,LOBESIP,Lobelia siphilitica,Lobelia siphilitica,FALSE,6356
6357,LOBE-SP,Lobelia species,Lobelia species,FALSE,6357
6358,LOBOALP,Lobothallia alphoplaca,Lobothallia alphoplaca,FALSE,6358
6359,LOBOMEL,Lobothallia melanaspis,Lobothallia melanaspis,FALSE,6359
6360,LOBOPRA,Lobothallia praeradios,Lobothallia praeradiosa,FALSE,6360
6361,LOBORAD,Lobothallia radiosa,Lobothallia radiosa,FALSE,6361
6362,LOBO-SP,Lobothallia species,Lobothallia species,FALSE,6362
6363,LOBUMAR,Lobularia maritima,Lobularia maritima,FALSE,6363
6364,LOBU-SP,Lobularia species,Lobularia species,FALSE,6364
6365,LOISPRO,Loiseleuria procumbens,Loiseleuria procumbens,FALSE,6365
6366,LOIS-SP,Loiseleuria species,Loiseleuria species,FALSE,6366
6367,LOLILOL,Lolium loliaceum,Lolium loliaceum,FALSE,6367
6368,LOLIMUL,Lolium multiflorum,Lolium multiflorum,FALSE,6368
6369,LOLIPER,Lolium perenne,Lolium perenne,FALSE,6369
6370,LOLIREM,Lolium remotum,Lolium remotum,FALSE,6370
6371,LOLIRIG,Lolium rigidum s.str.,Lolium rigidum s.str.,FALSE,6371
6372,LOLI#TE,Lolium temulentum agg.,Lolium temulentum agg.,FALSE,6372
6373,LOLITEM,Lolium temulentum,Lolium temulentum,FALSE,6373
6374,LOLI-SP,Lolium species,Lolium species,FALSE,6374
6375,LOMACAR,Lomatogoniu carinthiac,Lomatogonium carinthiacum,FALSE,6375
6376,LOMA-SP,Lomatogonium species,Lomatogonium species,FALSE,6376
6377,LONIALP,Lonicera alpigena,Lonicera alpigena,FALSE,6377
6378,LONICAE,Lonicera caerulea,Lonicera caerulea,FALSE,6378
