"","species_nr","lettercode","synonym","turboveg_czechia_slovakia","kaplan","expert_system","nonvascular","n"
"963",1191,"AVEUP-A",FALSE,"Avenula planiculmis ssp. angustior","Avenula planiculmis ssp. angustior","Avenula planiculmis ssp. angustior",0,NA
"964",1184,"AVEUP-H",FALSE,"Avenula pratensis ssp. hirtifolia","Helictotrichon pratense subsp. hirtifolium","Helictotrichon pratense subsp. hirtifolium",0,NA
"965",1188,"AVEUP-L",FALSE,"Avenula pubescens ssp. laevigata","Avenula pubescens ssp. laevigata","Avenula pubescens ssp. laevigata",0,NA
"966",1179,"AVEUPLA",FALSE,"Avenula planiculmis","Helictotrichon planiculme","Helictotrichon planiculme",0,NA
"967",1192,"AVEUP-N",FALSE,"Avenula planiculmis ssp. planiculmis","Helictotrichon planiculme","Helictotrichon planiculme",0,NA
"968",1181,"AVEUP-P",FALSE,"Avenula praeusta ssp. praeusta","Avenula praeusta ssp. praeusta","Avenula praeusta ssp. praeusta",0,NA
"969",1185,"AVEUP-R",FALSE,"Avenula pratensis ssp. pratensis","Helictotrichon pratense subsp. pratense","Helictotrichon pratense subsp. pratense",0,NA
"970",1180,"AVEUPRA",FALSE,"Avenula praeusta","Avenula praeusta","Avenula praeusta",0,NA
"971",1183,"AVEUPRT",FALSE,"Avenula pratensis","Helictotrichon pratense","Helictotrichon pratense",0,NA
"972",1182,"AVEUP-S",FALSE,"Avenula praeusta ssp. pseudoviolacea","Avenula praeusta ssp. pseudoviolacea","Avenula praeusta ssp. pseudoviolacea",0,NA
"973",1189,"AVEUP-U",FALSE,"Avenula pubescens ssp. pubescens","Avenula pubescens","Avenula pubescens",0,NA
"974",1187,"AVEUPUB",FALSE,"Avenula pubescens","Avenula pubescens","Avenula pubescens",0,NA
"975",1193,"AVEU-SP",FALSE,"Avenula species","Avenula species","Avenula species",0,NA
"976",1190,"AVEUVER",FALSE,"Avenula versicolor","Avenula versicolor","Avenula versicolor",0,NA
"977",1194,"AXYRAMA",FALSE,"Axyris amaranthoides","Axyris amaranthoides","Axyris amaranthoides",0,NA
"978",1195,"AXYR-SP",FALSE,"Axyris species","Axyris species","Axyris species",0,NA
"979",1196,"AZOLFIL",FALSE,"Azolla filiculoides","Azolla filiculoides","Azolla filiculoides",0,NA
"980",1197,"AZOLMEX",FALSE,"Azolla mexicana","Azolla mexicana","Azolla mexicana",0,NA
"981",1198,"AZOL-SP",FALSE,"Azolla species","Azolla species","Azolla species",0,NA
"982",1256,"BALLNIG",FALSE,"Ballota nigra","Ballota nigra","Ballota nigra",0,NA
"983",1257,"BALLN-M",FALSE,"Ballota nigra ssp. meridionalis","Ballota nigra subsp. meridionalis","Ballota nigra subsp. meridionalis",0,NA
"984",1258,"BALLN-N",FALSE,"Ballota nigra ssp. nigra","Ballota nigra subsp. nigra","Ballota nigra subsp. nigra",0,NA
"985",1259,"BALL-SP",FALSE,"Ballota species","Ballota species","Ballota species",0,NA
"986",13126,"BARB*AB",FALSE,"Barbarea x abortiva (B. vulgaris ssp. arcuata x vulgari","Barbarea vulgaris nothosubsp. abortiva","Barbarea vulgaris nothosubsp. abortiva",0,NA
"987",1260,"BARBINT",FALSE,"Barbarea intermedia","Barbarea intermedia","Barbarea intermedia",0,NA
"988",1266,"BARB-SP",FALSE,"Barbarea species","Barbarea species","Barbarea species",0,NA
